Date,Tweet;
"Been like that for 100+ years.""";
2023-05-05 23:56:13+00:00,@FermisSocks @BillyM2k Never a recession in criminal markets;
"2023-05-05 23:56:12+00:00,""@Yukon_Hiker @TexasAlum @laurenboebert Great idea. Let's mess with seniors dependent upon Social Security (which won't go out), fast-track a recession and prompt a downgrade in the country's credit rating so not to pay bills that were already incurred legislatively by Congress.";
;
"Gee, that makes sense.""";
2023-05-05 23:56:09+00:00,They are creating a recession in the middle of one of the biggest wealth explosions in American history.;
2023-05-05 23:56:07+00:00,@POTUS Buckle down for the recession that's rearing its ugly head;
"2023-05-05 23:55:45+00:00,""@AP Economic projections are never correct, consistently wrong. They say there won’t be a recession either.""";
2023-05-05 23:55:43+00:00,Very cool for Jay Powell to hike us into a recession to just in time to give the Man Who Literally Tried to End the American Democratic Experiment a shot of getting back in office.;
"2023-05-05 23:55:30+00:00,""@FluentInFinance So the fact that every company this earnings season RAISED forecasts means what?";
A) There is currently a zero chance of a recession ;
"B) rates need to go much much higher""";
2023-05-05 23:55:18+00:00,@SteveMiran It’s fine if there is a recession as long as inflation comes down. Should have allowed a recession in past 10 years. Everyone is So afraid of cycles. Delay risks even larger downside.;
"2023-05-05 23:55:16+00:00,""It wasn't the banks collapsing that caused the great recession in 2008. It was the banks panicking and closing down the credit markets, making it almost impossible to get a mortgage or car loan. If that happens again now, it will be 1,000x worse.""";
"2023-05-05 23:55:03+00:00,""@CryptoJeffS @nobody4873 @POTUS There has beenIt has always existed, and the U.S. economy has begun to accelerate its recession. Are you ready? Yesterday's bank failure, today's stock market, tomorrow's debt default. Think about it, friend!""";
"2023-05-05 23:54:56+00:00,""""""Mild recession is already here,"""" Elon Musk has said. """"Further rate hikes will trigger severe recession. Mark my words.""""""";
2023-05-05 23:54:37+00:00,The recession hitting me I almost wanna start waitressing on the side 😭😮‍💨;
"2023-05-05 23:54:06+00:00,""#Bitcoin and GOLD are pumping ";
everytime a new bank collapses.;
;
Stocks were dumping but bitcoin was ;
holding well and moved with GOLD ;
;
New narrative is spreading, Bitcoin is ;
the digital GOLD and GOLD is hedge ;
against inflation.;
;
Looks like ;
;
"RECESSION = GOLD and BTC pump 🚀""";
"2023-05-05 23:53:47+00:00,""@King_Asasasraku @TheTPatriots 😹😹😹 you don't even know when atta mills died yet somehow you think you know something about economics.";
;
Anyway what is recession?;
When did the recession happened that Ghana is the only country in an economic recession?;
;
"You are in a country that is bankrupt.""";
"2023-05-05 23:53:17+00:00,""@VadimKotlarov @DataDInvesting @jamifahad I do like $SOFI for the tech aspects ";
"but will likely buy a significant stake once the recession is confirmed""";
"2023-05-05 23:53:06+00:00,""Where is the recession? ";
;
Is it taking longer than normal? ;
;
Is it still coming?;
;
Let's take a look at the historical leads &amp; lags of the Leading Economy, Cyclical Economy and Total Economy...👇
;
"1/""";
2023-05-05 23:52:57+00:00,@POTUS Calling this a “business boom” is so laughable. We’re looking down the barrel of a “big time recession” with “bank failures” coming our way.;
"2023-05-05 23:51:30+00:00,""""""The wind in the wires made a tattle-tale sound";
And a wave broke over the railing;
And every man knew, as the captain did too....;
Big Recession?  Gordon Lightfoot;
;
"@TheKouk @AngusTaylorMP @Peter_Fitz @richwal94842899 @GrayConnolly @AlanKohler""";
"2023-05-05 23:51:29+00:00,""@GracieTheBelle @legitbrittFLA @Walt_Gondola @d2fl @EdKrassen Russia's invading Ukraine. China on the brink of invading Taiwon. North Korea rattling it's swords. America heading towards a recession. ";
;
"DeSantis has to stop what he is doing to deal with this crap from the Left!""";
2023-05-05 23:51:00+00:00,@HeroDividend Recession - Not good;
2023-05-05 23:50:59+00:00,@hendry_hugh commodity equities will@be down hard initially during recession;
"2023-05-05 23:50:18+00:00,""@M11_XMR @zerohedge Listen, we’ve been in a recession for over a year now. They changed the definition to make it appear as if we weren’t… and they kept spending money. Ukraine? That was basically the same thing as the rich people grabbing all their expensive shit before the titanic sank.""";
"2023-05-05 23:49:39+00:00,""@zerohedge U.S. in a recession";
;
"Also the US: *continues to send billions to ukraine*""";
"2023-05-05 23:49:25+00:00,""@Bobbabuilder @SaintEd61 Rates only hit rock bottom due to the pandemic, RBA did not want a recession so they went hard on interest rates""";
2023-05-05 23:48:56+00:00,@KamalaHarris @JoeBiden What job? Inflation? Military disaster? Recession?;
"2023-05-05 23:48:41+00:00,""@POTUS Way to go, you recession denier 😉""";
2023-05-05 23:48:33+00:00,@PinheadKing @Philip58761248 @mintzmyer @ed_fin It would have to be a pretty severe recession to collapse the fundamentals. The supply side for tankers is about non existent through 2025.;
"2023-05-05 23:48:31+00:00,""The Great Recession is going to hit. Maybe then, Americans will wake up""";
"2023-05-05 23:48:12+00:00,""With the U.S. economy edging toward recession, economist Jared Franz explores why a healthy consumer sector could drive a strong recovery.""";
2023-05-05 23:47:53+00:00,@macrotwain It’s a dumpster fire.. with the oncoming recession this thing is gonna get toasted..;
"2023-05-05 23:47:40+00:00,""@eweingart02 @barnes_law Yes, as hi Inflation in 41yrs, gas, crime, food, border, fetanyl deaths, weaponized doj, recession and now talk of war under this administration. Those that continue to support this administration and corrupt rinos tells you all you need to know.""";
2023-05-05 23:47:33+00:00,@PacoG2021 @DavidWil123 The one question mark that could throw this timeline off is how many more bank failures will there be and how soon. But I’d still bet the worst failures don’t come til recession starts at end of year.;
2023-05-05 23:47:10+00:00,guys listen to me a huge economic recession is coming fr;
2023-05-05 23:46:58+00:00,@HB_Politics Capitalism is not sustainable and will eventually collapse. It will cause wars and unknown destruction when it finally goes pop ... and if the predicted world recession hits as hard as some are saying. This could be when they could decide to work out a different direction.;
"2023-05-05 23:46:26+00:00,""i like how we’ll probably have a recession so holding assets is probably a bad idea, but the banks are failing so holding cash is probably a bad idea ";
;
"solution seems to be to not have money""";
2023-05-05 23:46:19+00:00,@a4waystop Colorado was historically the last state to enter a recession in the first state out.... but that's all been undone.;
"2023-05-05 23:46:06+00:00,""@POTUS Joe Biden has put the country on an unsustainable fiscal path with his reckless irresponsible Exec Orders/Policies.  Without a compromise on wasteful spending plans, the required interest $ to pay our debt will grind the economy to a halt, and produce a BIDEN-INDUCED RECESSION...""";
2023-05-05 23:45:59+00:00,@Quicktake @kaileyleinz so September recession hold on to youre nikers;
2023-05-05 23:45:58+00:00,@David32375134 I assume that's a measure of GDP? The reason it looks like it hasn't grown is because its in USD terms. If you used an Australian Dollar graph it would be different. Australia had one recession in 32 years - COVID. The longest record of any advanced economy.;
2023-05-05 23:45:38+00:00,@froomkin The #media needs chaos and despair to exist.  They actively want #recession and #default;
"2023-05-05 23:45:31+00:00,""@ZeekArkham @mmpadellan Let's stop faulting Presidents for things almost entirely outside their control: inflation, recession, dollar, etc. Their mitigation options are limited, as we all know. Now, Trump could have received credit for doing good things, but he didn't complete them! e.g., Afghanistan""";
2023-05-05 23:44:56+00:00,@Y_Question_Mark @longbeachmike73 I think the recession we have been faking our way out of is going to happen.;
"2023-05-05 23:44:49+00:00,""@TMFScottP Cost push.";
$2 cpl.;
"Recession""";
"2023-05-05 23:44:42+00:00,""My 2023 calls:";
GDP to slow - no recession;
Unemployment to edge up ~4.25%;
Inflation to free-fall - to hit RBA target in Q4;
Wages growth to peak mid year;
RBA no more hikes;
10 year bonds to 3% or less;
AUD mid to high 70s;
House prices to bottom in Q1 &amp; rise in H2
"ASX 8,000++""";
"2023-05-05 23:44:06+00:00,""@CNN Looming recession? But, but......Karine Jean-Pierre said the economy was doing great under Biden.""";
"2023-05-05 23:43:58+00:00,""The GOP is going to tank your job, your retirement account, plunge the country into recession all because they don’t want to pay the check they wrote.""";
"2023-05-05 23:43:28+00:00,""@ChrisMartin1961 @Lily_Warrior you are aware that millennials and gen z are the first generations in America to have it worse off than their parents right?";
"Iraq, Afghanistan, great recession, need a PhD to make what a union electrician used to make, no pensions, no unions, no job security, student debt, houses""";
2023-05-05 23:42:40+00:00,living thru a hoe recession rn;
2023-05-05 23:41:04+00:00,@Reuters Democrats creating recession is predictable.;
2023-05-05 23:40:33+00:00,The onset of AI will be insidious. The added value of AI in the economy could reverse or soften the coming recession economists keep warning of.;
2023-05-05 23:40:31+00:00,@POTUS Are you out of your mind. The impending recession you and your administration caused is gonna to be worse the 08'. Businesses are closing left and right. There is no small business boom. The people are struggling. Bring back the gold and silver standard.;
2023-05-05 23:40:06+00:00,@HeroDividend Recession;
"2023-05-05 23:39:04+00:00,""[me on squawk tomorrow after jobs] and if there is a recession, the market can go down a little bit. ok, so what does that mean, can it go down to 3800? sure it can. can it go down to 3600? no. I don't believe that.  I mean then... it can, I tell you what, I'll be 110% equities""";
"2023-05-05 23:38:08+00:00,""@PacoG2021 @bullgangCEO My speculation is when fed pauses, market goes into final jizz fest ralley for a few months, especially once debt ceiling is cleared, then another pullback, then sideways, and then the “fuckening”, aka recession by end of year.""";
"2023-05-05 23:37:52+00:00,""@be4_bama @Itconnelly1959 @GraftedIn2 @RpsAgainstTrump Global recession, eating out is still enjoyable, gas had come down, not worried about WWIII at all, borders are more secure tush under Trump. Stop with the lies""";
"2023-05-05 23:37:08+00:00,""Bitcoin was born during the last recession.";
;
"It will be mass adopted during this one.""";
"2023-05-05 23:36:50+00:00,""@therealseyimax @moody_tlb If you don’t got one already, dw about searching bro. Streets are in a good woman recession rn""";
"2023-05-05 23:35:45+00:00,""In a few weeks, the federal government will run out of money. We won’t be able to pay our bills. ";
;
If this happens, we will go into default for the first time in our history. ;
;
"It will cause a major recession, millions of jobs will be lost, and trigger a global financial crisis.""";
2023-05-05 23:35:41+00:00,this fucking recession bro…;
"2023-05-05 23:35:02+00:00,""@HeroDividend Yes, Recession""";
"2023-05-05 23:35:00+00:00,""@stoolpresidente Why buy now ?";
;
There’s a recession… people tend not to gamble much when they are conserving money.;
;
"My non financial advise opinion would be to wait and get this stock at half price it is now""";
"2023-05-05 23:34:32+00:00,""RECESSION &amp"; INFLATION centered tweets for the past 24hrs:  
#Recession: 914 ;
#Inflation: 2560 ;
;
"More tomorrow...""";
2023-05-05 23:34:30+00:00,@TheKouk So a recession in Q2 2024?;
"2023-05-05 23:33:53+00:00,""@peruvian_bull Its not even brewing, its happening right now in real time. Really, since 2008. I never got the """"recession is coming"""" like it hasn't already been one for like 12 years for normal people after the bastard grifters at the Fed went full throttle trying to keep this charade going""";
"2023-05-05 23:33:41+00:00,""This dance you’re witnessing between hopes of peak rates, almost baby cries for a pause pacifier, and recession fears and chronic nightmares of pending collapse, are nothing new. It’s typical late cycle. Every time same clowns fight same windmills.""";
2023-05-05 23:33:41+00:00,@RobWearne @RDNS_TAI stagflation not looking likely given inflation already falling but big risk of recession atm;
2023-05-05 23:33:32+00:00,@Roszko72 It’s called Recession 🤗;
2023-05-05 23:33:27+00:00,@RBReich Because we are in a deep recession....caused by democrats....;
2023-05-05 23:33:15+00:00,@vincent13031925 Trend is concerning. Fed needs to cut interest rates immediately. They are massively amplifying the probability of a severe recession.;
"2023-05-05 23:32:59+00:00,""My bro just asked me “Are we going into a recession?” ";
;
"I told him “I ain’t”.""";
"2023-05-05 23:32:43+00:00,""@mortgageagentsn Lol - a realtor giving economic advice now that’s funny , when u see inflation down to 3 % then maybe rates will drop …need the recession to kick in first …which is what the higher rates are trying to accomplish""";
2023-05-05 23:32:40+00:00,@HeroDividend recession;
"2023-05-05 23:31:44+00:00,""Are there ever any Positive Posts on Twitter?";
;
Proxy War in Ukraine;
Political Pillow Fights;
AAU Coaches Fighting Refs;
Fentanyl Crisis;
Banking Crisis;
The Recession ;
NIL in Sports;
Transfer Portal;
Egg Prices;
Gas Prices;
Social Issues Every Corner;
;
"I’m just Happy it’s 60 Degrees out!""";
"2023-05-05 23:31:43+00:00,""Do you understand that your policies effect communities? You mostly seem really horny to manufacture a recession to bring down inflation by, let's be honest here, half a percentage point.";
;
"I guess I am live tweeting the press conference now""";
"2023-05-05 23:31:26+00:00,""@BarrySo6 @RealOmarNavarro Then the whole tweet is irrelevant for the same reason. Inflation is low during a recession, no matter whether the recession is due to bad policy or a pandemic.""";
"2023-05-05 23:30:37+00:00,""@VadimKotlarov @DataDInvesting The tech division is a lot more interesting….$SOFI core business of lending (essentially all of its profits) is risky….in an average recession, it will deplete capital""";
2023-05-05 23:30:24+00:00,@PacoG2021 Powell already delinked wages from inflation.  Bulls have no upside IMO Bad payrolls = recession.  Good payrolls = higher for longer;
"2023-05-05 23:30:22+00:00,""Recession Probabilities 2023. (Bloomberg)";
;
India 🇮🇳 - 0%;
China 🇨🇳 - 12.5%;
Pakistan 🇵🇰 - 70%;
USA 🇺🇸 - 65%;
UK 🇬🇧 - 75%;
Germany 🇩🇪 - 60%;
France 🇫🇷 - 50%;
Australia 🇦🇺 - 40%;
Russia 🇷🇺 - 37.5%;
Brazil 🇧🇷 - 15%;
Mexico 🇲🇽 - 27.5%;
"Canada 🇨🇦 - 60%""";
2023-05-05 23:30:12+00:00,@jmackin2 @felixsalmon (arguably more so; waiting for a recession to end or an Italian bankruptcy court to foreclose is not quite as crazy as waiting for a 30 year bond with a 0.5% coupon to pull to par)
"2023-05-05 23:29:21+00:00,""@Economics21st @richyphillips @KynarethNoBaka And you DO need to counteract savings from income, or else your economy will shrink.  What happens whey you produce $20 trillion worth of stuff and only sell $18 trillion of it?  Recession.""";
"2023-05-05 23:29:19+00:00,""Recession probability forecast, 2023:";
;
India: 0%;
Indonesia: 2%;
Saudi Arabia: 5%;
China: 12.5%;
Brazil: 15%;
Switzerland: 20%;
Spain: 25%;
South Korea: 30%;
Japan: 35%;
Russia: 37.5%;
France: 50%;
Canada: 60%;
Italv: 60%;
Germany: 60%;
US: 65%;
UK: 75%;
;
"@ravikarkara""";
2023-05-05 23:28:44+00:00,@PDXsBURNING @_counterpoints_ I do agree the lack of a net has exacerbated the issue and definitely needs to be plugged up before another recession or it's going to be real bad. I think the west coast just has to secede and do it in our own tbh;
2023-05-05 23:27:53+00:00,@HeroDividend Recession 😩;
2023-05-05 23:27:53+00:00,@cook4beginners This is all about the '24 election. Default means recession and high unemployment. Just what the GOP wants so they can blame Biden.;
"2023-05-05 23:27:39+00:00,""@marklevinshow Raised interest rates again. Push us into a recession just to stop Joe's inflation.  The federal gov't is corrupt, incompetent,  and a clear and present danger to the American people.""";
"2023-05-05 23:27:09+00:00,""@JDCocchiarella Sure, who doesn’t like high gas prices, high grocery bills, high taxes, high inflation, a recession, war in Ukraine, open borders, less jobs, conflict in Sudan, nK shooting missiles.""";
"2023-05-05 23:27:02+00:00,""@suzcowan Liberal party of Canada who divided Canada,has out of control debt,record inflation,rising interest rates and unaffordability.1in5 to lose their home and Foodbank usage up 64%as bankruptcy and poverty rise. PM at 54%disapproval rate leading Canada to recession. Excited?Very sad!""";
2023-05-05 23:26:55+00:00,@CNN Consumers dont give a dick about a recession. Everything just costs too much;
"2023-05-05 23:25:32+00:00,""Economic problems in the USA 🇺🇸:";
;
🔹Debt/default crisis;
;
🔹Banking crisis;
;
🔹Impending real estate crisis ;
;
🔹Possible recession;
;
🔹Dedollarization everywhere ;
;
🔹And people are talking about minting $1 trillion coin.;
;
"This will be a memorable year.""";
"2023-05-05 23:24:41+00:00,""The US debt will default in the coming weeks if the debt ceiling is not raised. Unemployment rates, prolonged recession, decimated GDP . The value of US dollars will tank. Everything is propped up artificially, numbers on the screen !""";
"2023-05-05 23:23:39+00:00,""@Liam13135 @ravi_chander @mortgageagentsn Not necessarily.";
;
"You forget the federal government's handouts, aka """"stimulus"""" cheques they give to people.";
;
Is it enough to sustain a family? Nope.;
"Enough to prevent a typical recession? Probably. Unless all this debt blows in our faces. Which BoC is avoiding as much as possible""";
2023-05-05 23:23:10+00:00,@Lavorgnanomics Is it too high? The Fed is making sure inflation has no chance of coming back like it did in the 1970’s. Don’t count on them cutting anytime soon. I expect they will eventually cut when U-3 gets higher than 5.25%.The Fed knows they need a recession but they can’t say that.;
"2023-05-05 23:22:38+00:00,""@Coyoteblog A (mild) recession is the goal. The stated problem is rising wages, and they will raise rates until layoffs push them back down.""";
"2023-05-05 23:22:37+00:00,""@lisaabramowicz1 I think a good old fashion recession is long overdue to flush clean the economy  of financial giants (BlackRock…..) who have strived off unlimited, almost 0% funds.""";
"2023-05-05 23:22:19+00:00,""@tweet_at_DLH @carlquintanilla @PantheonMacro Yep - appears correlation is highest during a downturn (like most things are)... not so much otherwise. Interesting headfake was ~2003 when NFIB tanked to below naughts recession trough but job growth continued recovery. Not throwing the baby out with the bathwater, but notable""";
2023-05-05 23:22:03+00:00,@RBReich They want a recession they said so themselves and their not happy until they force one;
2023-05-05 23:22:02+00:00,@HeroDividend Recession. That word used to really trigger me. 😥;
2023-05-05 23:21:46+00:00,@mortgageagentsn Imagine raising rates in a recession.  I just can't see it.  We ARE in bizzaro world so nothing surprises me.;
"2023-05-05 23:21:43+00:00,""@Stimpyz1 @NickTimiraos This is the most bizarre recession I’ve ever lived through and Powell is dealing with reckless political spending and high energy prices..";
;
"I suppose he deserves credit for slowing the pace of inflation (after enabling it) and he’s pretty much going at it alone.""";
"2023-05-05 23:21:41+00:00,""@traderstewie I graduated HS &amp";" college in the 80’s. Once we got out of the ‘81 recession, it felt like the party would never end. 😂"""
2023-05-05 23:21:41+00:00,there’s a huge recession on the horizon and yeah that sucks ass but i am excited for all the tiny shorts men will now be wearing. no more 9 inch inseams get a thigh tattoo show it off;
"2023-05-05 23:21:03+00:00,""@Spriter99880 Unfortunately, I’m afraid it’s only the beginning of WWIII. Through history whenever there are a recession or economic struggles in the big major powers there will be a big war""";
"2023-05-05 23:20:43+00:00,""If Trump takes office in '25, he will pardon every 1/6 person who didn't cooperate &amp";" others. Don't think he can get elected again? He's leading by far for nomination. We could be going into severe recession. He will lie/cheat/crime to win. He won before. He will run as an outlaw."""
2023-05-05 23:20:30+00:00,@DonMiami3 We deserve a recession;
"2023-05-05 23:20:08+00:00,""I can't believe morons are sitting on houses with $100k+ in profits for literally doing nothing, but they're trying to haggle over $10k heading into a recession.";
;
"These people deserve what they're about to get.""";
"2023-05-05 23:19:55+00:00,""I'm trying to figure out with all these ethical hustles why we in a recession.";
"My 20 year old self would never 😔""";
2023-05-05 23:18:48+00:00,@CNN Looming recession? We are broke because of democrat policies.;
"2023-05-05 23:18:19+00:00,""@THR When recession hits the poor continues to fight for basic needs, the middle class face devastating, life altering adjustments, and the wealthy take four day vacations instead of six.""";
2023-05-05 23:17:34+00:00,@UpwardNewsHQ Time for another Recession;
"2023-05-05 23:17:33+00:00,""Hey bulls, here’s your rundown on non-farm payroll tomorrow from @petrowave4 ";
;
“Powell already delinked wages from inflation.  Bulls have no upside IMO ;
;
"Bad payrolls = recession.  Good payrolls = higher for longer”""";
"2023-05-05 23:17:13+00:00,""@AlgodTrading dont fall for the narratives  during a recession,";
why did you didnt post about btc being a joke at 69k?;
;
countries literally starting adopting btc;
and also companies like tesla;
;
"and your saying we are making no advance......""";
2023-05-05 23:16:56+00:00,@CT_Legacy @unusual_whales No such thing as medium recession;
"2023-05-05 23:16:41+00:00,""@Econ_Parker @carlquintanilla @PantheonMacro Like to think of relationship between these two variables as having two regimes:";
;
1) Usually strong heading into recession;
;
"2) Usually weak during all other periods""";
"2023-05-05 23:16:27+00:00,""@DominiakLaurie @DonLawr86874954 @biglotz @washumom @OccupyDemocrats You literally watching in real time biden destruction of usa dollar and Chinajoe destroy 🇺🇸  but you have trump derangement syndrome and can't see the truth, happening in real time. Changing the verbiage of recession doesn't mean no recession TRUMP24 or before!!""";
2023-05-05 23:15:42+00:00,@GrantCardone Recession;
2023-05-05 23:15:27+00:00,@TPostMillennial Yes. By do it’s job you mean to spend us all into oblivion and send us into recession. Genius!;
2023-05-05 23:15:26+00:00,@me_gutsy @fentasyl @TheRabbitHole84 Coward bc I said this makes it look like a recession is coming? 😭;
2023-05-05 23:14:50+00:00,@MoeedNj A reason for the food recession in Pakistan!!!;
"2023-05-05 23:14:42+00:00,""@BkcNick @JamesRobichaux @clearSNR @StrikeDebt So, you think that people keep the same amount of wealth that they had before a recession during the recession?""";
2023-05-05 23:14:25+00:00,Recession canceled. ✅;
"2023-05-05 23:14:11+00:00,""@seanm_m @LibertyCappy economic crisis. This led to the rise of risky instruments such as mortgage-backed securities, which ultimately contributed to the 2008 financial crisis and the subsequent economic recession, which the ruling class profited off of, while we suffered.""";
"2023-05-05 23:13:40+00:00,""@zerohedge I realize it’s not a perfect application, but the more cash savings there is, the less likely a crash would be.  It’s also less likely there’s a recession.  The more cash savings people have, the better.""";
2023-05-05 23:13:36+00:00,Do you believe there will be an economic #recession in 2023?;
2023-05-05 23:13:30+00:00,@CNN Recession? You've been in denial about this for how many months?;
"2023-05-05 23:13:10+00:00,""@TheKouk Global Recession underway?";
;
- Investors urgent steps...sell dwn stocks, etc &amp; hold cash
#NAME?;
;
Chalmer's 2023-25 Recession Budget Flotsam-Jetsam budget?;
Or, burn the LIfeBoats &amp; full speed ahead!
"@profholden @AlanKohler @AngusTaylorMP""";
"2023-05-05 23:11:45+00:00,""@paddymacc1 As the IT advised years ago in an article ‘How to make money in a recession’ - one pointer was, set up a charity.""";
"2023-05-05 23:11:27+00:00,""📊Over 50 billion-dollar tech startups were founded during a recession.";
;
"Any time there is a need, it is important to identify it.""";
"2023-05-05 23:10:58+00:00,""We are in a recession in that yesterday, May 3, 2023, I saw a woman reading LEAN IN on the 2 train.""";
"2023-05-05 23:10:43+00:00,""Laptop and iPad sales collapsing are what you would expect to see going into a #recession - extra products that don’t need to be upgraded every year. iPhone sales week too, Apple doesn’t innovate anymore, add a camera and vibrator feature and voila, the iPhone 69+ is born.""";
"2023-05-05 23:10:34+00:00,""@RJRCapital By definition, $aapl is in a recession lol""";
"2023-05-05 23:10:00+00:00,""AI has solved Recession. 🐻 can go home. ";
;
"Summary of $MSFT call. 🤣""";
2023-05-05 23:09:28+00:00,@CNN bidens plan to stop the inflation he caused is to force a recession and layoffs lmao. what an absolute clown.;
"2023-05-05 23:09:03+00:00,""@CNN """"Looming recession""""?? LOL. There is no """"looming recession"""". There is price gouging by corporations and a newly rightwing CNN hungry to manufacture a recession""";
